date,state_id,sales
2011-01-29,CA,14195.0
2011-01-29,TX,9438.0
2011-01-29,WI,8998.0
2011-01-30,CA,13805.0
2011-01-30,TX,9630.0
2011-01-30,WI,8314.0
2011-01-31,CA,10108.0
2011-01-31,TX,6778.0
2011-01-31,WI,6897.0
2011-02-01,CA,11047.0
2011-02-01,TX,7381.0
2011-02-01,WI,6984.0
2011-02-02,CA,9925.0
2011-02-02,TX,5912.0
2011-02-02,WI,3309.0
2011-02-03,CA,11322.0
2011-02-03,TX,9006.0
2011-02-03,WI,8883.0
2011-02-04,CA,12251.0
2011-02-04,TX,6226.0
2011-02-04,WI,9533.0
2011-02-05,CA,16610.0
2011-02-05,TX,9440.0
2011-02-05,WI,11882.0
2011-02-06,CA,14696.0
2011-02-06,TX,9376.0
2011-02-06,WI,8664.0
2011-02-07,CA,11822.0
2011-02-07,TX,7319.0
2011-02-07,WI,6431.0
2011-02-08,CA,10933.0
2011-02-08,TX,6224.0
2011-02-08,WI,5914.0
2011-02-09,CA,10350.0
2011-02-09,TX,6740.0
2011-02-09,WI,6568.0
2011-02-10,CA,11204.0
2011-02-10,TX,6109.0
2011-02-10,WI,6443.0
2011-02-11,CA,11354.0
2011-02-11,TX,7202.0
2011-02-11,WI,7889.0
2011-02-12,CA,14610.0
2011-02-12,TX,10081.0
2011-02-12,WI,10142.0
2011-02-13,CA,15630.0
2011-02-13,TX,11725.0
2011-02-13,WI,9025.0
2011-02-14,CA,9044.0
2011-02-14,TX,6719.0
2011-02-14,WI,6041.0
2011-02-15,CA,9496.0
2011-02-15,TX,7460.0
2011-02-15,WI,7114.0
2011-02-16,CA,8844.0
2011-02-16,TX,6606.0
2011-02-16,WI,5993.0
2011-02-17,CA,7835.0
2011-02-17,TX,6412.0
2011-02-17,WI,6071.0
2011-02-18,CA,10025.0
2011-02-18,TX,6711.0
2011-02-18,WI,6985.0
2011-02-19,CA,13870.0
2011-02-19,TX,9150.0
2011-02-19,WI,8669.0
2011-02-20,CA,13465.0
2011-02-20,TX,9789.0
2011-02-20,WI,6029.0
2011-02-21,CA,11997.0
2011-02-21,TX,7297.0
2011-02-21,WI,4672.0
2011-02-22,CA,9130.0
2011-02-22,TX,6628.0
2011-02-22,WI,4743.0
2011-02-23,CA,8941.0
2011-02-23,TX,5814.0
2011-02-23,WI,6002.0
2011-02-24,CA,8514.0
2011-02-24,TX,6175.0
2011-02-24,WI,5588.0
2011-02-25,CA,9847.0
2011-02-25,TX,6286.0
2011-02-25,WI,6396.0
2011-02-26,CA,13652.0
2011-02-26,TX,8586.0
2011-02-26,WI,7670.0
2011-02-27,CA,12491.0
2011-02-27,TX,9086.0
2011-02-27,WI,7130.0
2011-02-28,CA,9196.0
2011-02-28,TX,6555.0
2011-02-28,WI,5489.0
2011-03-01,CA,9782.0
2011-03-01,TX,7082.0
2011-03-01,WI,6008.0
2011-03-02,CA,9537.0
2011-03-02,TX,6145.0
2011-03-02,WI,6364.0
2011-03-03,CA,9710.0
2011-03-03,TX,6639.0
2011-03-03,WI,7126.0
2011-03-04,CA,10444.0
2011-03-04,TX,6584.0
2011-03-04,WI,6544.0
2011-03-05,CA,13784.0
2011-03-05,TX,9238.0
2011-03-05,WI,8180.0
2011-03-06,CA,16057.0
2011-03-06,TX,10423.0
2011-03-06,WI,8396.0
2011-03-07,CA,10953.0
2011-03-07,TX,7623.0
2011-03-07,WI,5986.0
2011-03-08,CA,10299.0
2011-03-08,TX,6335.0
2011-03-08,WI,6118.0
2011-03-09,CA,9951.0
2011-03-09,TX,6941.0
2011-03-09,WI,5668.0
2011-03-10,CA,10012.0
2011-03-10,TX,6339.0
2011-03-10,WI,6275.0
2011-03-11,CA,11189.0
2011-03-11,TX,7203.0
